股票代码,股票简称,个股热度排名,个股热度排名排名,个股热度,涨跌幅:前复权_0,涨跌幅:前复权_1,涨跌幅:前复权_2,涨跌幅:前复权_3,开盘价:前复权_0,开盘价:前复权_1,开盘价:前复权_2,开盘价:前复权_3,最低价:前复权_0,最低价:前复权_1,最低价:前复权_2,最低价:前复权_3,最高价:前复权_0,最高价:前复权_1,最高价:前复权_2,最高价:前复权_3,n+4天涨跌幅日期,n+2天热度排名日期,查询条件
002600.SZ,领益智造,26,26/5360,10660061.0,-9.98766954,9.04109589,9.95850622,-1.00628931,7.78,7.2,7.05,7.96,7.3,7.16,6.97,7.76,7.79,8.03,7.95,8.19,20241015,20241010,20241009下跌 20241010上涨 20241010热度排名前50 20241014上涨 20241015涨幅 主板 非ST
601318.SH,中国平安,31,31/5360,9779874.5,-9.76834602,5.02692998,1.96385123,-2.52258394,59.07,55.7,57.46,57.65,54.72,55.38,56.62,56.16,59.07,59.66,58.31,58.35,20241015,20241010,20241009下跌 20241010上涨 20241010热度排名前50 20241014上涨 20241015涨幅 主板 非ST
000617.SZ,中油资本,40,40/5360,7890455.0,-9.98766954,5.47945205,10.03541913,-8.0472103,7.95,7.31,9.0,8.43,7.3,6.81,8.68,8.4,8.11,8.03,9.32,9.65,20241015,20241010,20241009下跌 20241010上涨 20241010热度排名前50 20241014上涨 20241015涨幅 主板 非ST
000858.SZ,五粮液,47,47/5360,7253382.0,-9.97866504,2.91170098,0.07350484,-3.84615385,160.0,147.67,151.0,150.0,147.66,147.67,146.01,144.0,160.0,155.53,151.0,150.1,20241015,20241010,20241009下跌 20241010上涨 20241010热度排名前50 20241014上涨 20241015涨幅 主板 非ST
600150.SH,中国船舶,56,56/5360,6270811.0,-7.27482679,4.93150685,0.49407115,-3.07276303,42.5,40.6,40.69,40.28,40.07,40.42,40.03,39.31,43.16,44.1,41.58,40.39,20241015,20241010,20241009下跌 20241010上涨 20241010热度排名前50 20241014上涨 20241015涨幅 主板 非ST
002466.SZ,天齐锂业,59,59/5360,6214448.5,-8.57438017,2.48587571,1.37683328,-3.01151461,38.0,35.42,33.33,33.76,35.22,34.73,32.58,32.82,39.95,37.47,33.94,34.19,20241015,20241010,20241009下跌 20241010上涨 20241010热度排名前50 20241014上涨 20241015涨幅 主板 非ST
600900.SH,长江电力,61,61/5360,6005155.5,-2.29295003,2.20665499,0.47928792,-1.60136286,28.98,28.6,29.22,29.3,28.22,28.59,29.1,28.88,29.39,29.83,29.55,29.39,20241015,20241010,20241009下跌 20241010上涨 20241010热度排名前50 20241014上涨 20241015涨幅 主板 非ST
002594.SZ,比亚迪,63,63/5360,6001358.5,-6.62532836,3.33671366,2.31628062,-2.93159609,315.0,310.0,300.99,305.5,300.5,309.98,300.2,298.0,320.71,322.0,309.98,308.38,20241015,20241010,20241009下跌 20241010上涨 20241010热度排名前50 20241014上涨 20241015涨幅 主板 非ST
601398.SH,工商银行,67,67/5360,5722406.0,-1.30718954,3.80794702,3.18979266,-3.24574961,6.06,6.05,6.32,6.43,5.98,6.04,6.32,6.26,6.17,6.4,6.5,6.45,20241015,20241010,20241009下跌 20241010上涨 20241010热度排名前50 20241014上涨 20241015涨幅 主板 非ST
002714.SZ,牧原股份,70,70/5360,5606916.0,-6.89578714,3.57227911,2.38883633,-2.84130284,44.5,44.4,42.4,43.2,41.83,43.37,42.15,42.01,44.5,45.44,43.56,43.57,20241015,20241010,20241009下跌 20241010上涨 20241010热度排名前50 20241014上涨 20241015涨幅 主板 非ST
601868.SH,中国能建,80,80/5360,5230765.5,-8.16326531,8.88888889,1.73160173,-0.42553191,2.42,2.27,2.33,2.37,2.23,2.25,2.3,2.33,2.42,2.48,2.38,2.43,20241015,20241010,20241009下跌 20241010上涨 20241010热度排名前50 20241014上涨 20241015涨幅 主板 非ST
601800.SH,中国交建,85,85/5360,5116027.5,-10.00971817,10.04319654,2.0952381,-5.97014925,9.96,9.26,10.4,10.4,9.26,9.24,10.25,10.07,9.96,10.19,11.2,10.69,20241015,20241010,20241009下跌 20241010上涨 20241010热度排名前50 20241014上涨 20241015涨幅 主板 非ST
601766.SH,中国中车,92,92/5360,4915783.0,-7.55813953,7.04402516,2.72952854,-1.8115942,8.6,7.95,8.07,8.28,7.93,7.94,8.07,8.11,8.6,8.75,8.34,8.35,20241015,20241010,20241009下跌 20241010上涨 20241010热度排名前50 20241014上涨 20241015涨幅 主板 非ST
601668.SH,中国建筑,96,96/5360,4777065.5,-9.23317684,8.62068966,5.12396694,-2.04402516,6.33,5.83,6.18,6.33,5.8,5.82,6.18,6.22,6.35,6.38,6.47,6.5,20241015,20241010,20241009下跌 20241010上涨 20241010热度排名前50 20241014上涨 20241015涨幅 主板 非ST
601390.SH,中国中铁,97,97/5360,4726795.0,-9.03790087,9.93589744,1.82094082,-2.68256334,6.77,6.3,6.68,6.62,6.23,6.3,6.6,6.5,6.77,6.86,6.89,6.8,20241015,20241010,20241009下跌 20241010上涨 20241010热度排名前50 20241014上涨 20241015涨幅 主板 非ST
000628.SZ,高新发展,105,105/5360,4494247.0,-0.36744442,1.10639867,10.01013171,10.00184196,52.91,53.61,48.32,57.54,51.6,51.37,47.63,57.54,58.76,58.0,54.29,59.72,20241015,20241010,20241009下跌 20241010上涨 20241010热度排名前50 20241014上涨 20241015涨幅 主板 非ST
601989.SH,中国重工,106,106/5360,4475393.5,-7.85340314,5.87121212,0.56074766,-3.1598513,5.56,5.35,5.41,5.33,5.26,5.29,5.31,5.2,5.64,5.8,5.49,5.34,20241015,20241010,20241009下跌 20241010上涨 20241010热度排名前50 20241014上涨 20241015涨幅 主板 非ST
601985.SH,中国核电,115,115/5360,4325778.5,-6.17059891,5.41586074,0.65666041,-2.7027027,10.95,10.4,10.66,10.7,10.33,10.4,10.58,10.43,10.95,11.15,10.86,10.78,20241015,20241010,20241009下跌 20241010上涨 20241010热度排名前50 20241014上涨 20241015涨幅 主板 非ST
601669.SH,中国电建,123,123/5360,4090311.0,-9.68280467,8.31792976,1.62454874,-1.77619893,5.8,5.42,5.65,5.59,5.4,5.42,5.57,5.51,5.8,5.95,5.75,5.72,20241015,20241010,20241009下跌 20241010上涨 20241010热度排名前50 20241014上涨 20241015涨幅 主板 非ST
002241.SZ,歌尔股份,125,125/5360,4076575.0,-9.40695297,3.74717833,2.48531405,-2.99823633,23.68,22.18,22.15,22.69,22.15,22.18,21.98,22.0,23.68,23.75,22.81,22.84,20241015,20241010,20241009下跌 20241010上涨 20241010热度排名前50 20241014上涨 20241015涨幅 主板 非ST
601899.SH,紫金矿业,128,128/5360,4017525.0,-5.73496659,2.48080331,2.49419954,-3.05602716,17.7,17.0,17.36,17.5,16.9,16.85,17.08,17.13,17.77,17.98,17.77,17.51,20241015,20241010,20241009下跌 20241010上涨 20241010热度排名前50 20241014上涨 20241015涨幅 主板 非ST
601186.SH,中国铁建,132,132/5360,3914735.5,-8.41219769,9.98851894,3.00107181,-3.95421436,9.35,8.74,9.37,9.41,8.71,8.74,9.37,9.22,9.35,9.58,10.09,9.77,20241015,20241010,20241009下跌 20241010上涨 20241010热度排名前50 20241014上涨 20241015涨幅 主板 非ST
601919.SH,中远海控,134,134/5360,3868788.0,-9.75316075,4.42294402,0.95108696,-2.28802153,15.83,14.88,14.77,14.76,14.44,14.68,14.72,14.52,15.83,15.49,15.02,14.89,20241015,20241010,20241009下跌 20241010上涨 20241010热度排名前50 20241014上涨 20241015涨幅 主板 非ST
601857.SH,中国石油,135,135/5360,3843589.0,-9.52890792,3.43195266,0.57471264,-3.65714286,9.1,8.47,8.7,8.58,8.45,8.47,8.62,8.42,9.13,9.01,8.84,8.61,20241015,20241010,20241009下跌 20241010上涨 20241010热度排名前50 20241014上涨 20241015涨幅 主板 非ST
